type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	4.1146e+03	1.7879e-16	1.0146e+00	9.9516e+01
LAE	3.8699e+03	6.3045e-17	2.1450e-01	1.4682e+02
LAE	3.9626e+03	6.4463e-17	2.9830e-01	1.1319e+02
LAE	3.9017e+03	1.0075e-16	2.1100e-02	2.4246e+03
LAE	3.9543e+03	7.3111e-17	1.0416e+00	3.6611e+01
OII	3.8966e+03	5.9901e-16	1.8705e+01	1.6220e+01
OII	4.1086e+03	1.4565e-15	2.8414e+02	2.8862e+00
OII	4.0982e+03	2.8621e-15	2.0582e+02	7.7904e+00
LAE	4.0790e+03	1.0193e-16	1.7645e+00	3.2061e+01
LAE	3.9004e+03	8.6947e-17	1.2852e+00	3.4330e+01
OII	3.8503e+03	1.4921e-16	1.0058e+01	7.3358e+00
LAE	4.0787e+03	5.5210e-17	2.7620e-01	1.1092e+02
LAE	4.1890e+03	4.7725e-17	2.3760e-01	1.1757e+02
LAE	4.0439e+03	7.2961e-17	2.4250e-01	1.6412e+02
LAE	3.9468e+03	6.7074e-17	5.3840e-01	6.4733e+01
LAE	4.0188e+03	5.0619e-17	2.1919e+00	1.2441e+01
LAE	4.0323e+03	4.9019e-17	7.9000e-02	3.3652e+02
LAE	3.9723e+03	6.3187e-17	1.7831e+00	1.8652e+01
LAE	4.0842e+03	1.0296e-16	1.1588e+00	4.9438e+01
LAE	3.8234e+03	6.8919e-17	5.7280e-01	5.8669e+01
LAE	4.1361e+03	4.6056e-17	1.1060e-01	2.3763e+02
LAE	4.0345e+03	3.1868e-16	2.1743e+00	7.9579e+01
LAE	4.1700e+03	6.7081e-17	6.8580e-01	5.6734e+01
LAE	4.1892e+03	4.8747e-17	9.0400e-02	3.1566e+02
LAE	3.9812e+03	5.1213e-17	2.5390e-01	1.0664e+02
LAE	4.0226e+03	5.1128e-17	4.8670e-01	5.6700e+01
LAE	4.0945e+03	6.2533e-17	1.5570e-01	2.2460e+02
LAE	4.1750e+03	5.5477e-17	1.9810e-01	1.6283e+02
LAE	4.1030e+03	4.7363e-17	1.3510e-01	1.9686e+02
LAE	4.1361e+03	6.0811e-17	4.2530e-01	8.1592e+01
LAE	3.9317e+03	5.1764e-17	5.2060e-01	5.1269e+01
LAE	4.0937e+03	1.1562e-16	3.5460e-01	1.8227e+02
LAE	4.1166e+03	4.4531e-17	9.6410e-01	2.6110e+01
LAE	4.1980e+03	4.6738e-17	8.4400e-02	3.2554e+02
LAE	3.8836e+03	6.5459e-17	6.0870e-01	5.4102e+01
LAE	4.1513e+03	8.3899e-17	4.3880e-01	1.0991e+02
LAE	3.9820e+03	9.3486e-17	9.2820e-01	5.3270e+01
LAE	3.8845e+03	5.7792e-17	1.6570e-01	1.7555e+02
LAE	3.9569e+03	5.6388e-17	6.6040e-01	4.4594e+01
OII	4.0262e+03	1.0922e-16	1.3088e+03	4.5100e-02
LAE	4.1160e+03	4.8892e-17	2.6670e-01	1.0360e+02
OII	4.1107e+03	2.0152e-15	2.5662e+02	4.4264e+00
LAE	4.1446e+03	5.7741e-17	1.0310e-01	3.2090e+02
LAE	4.1421e+03	6.6693e-17	5.0192e+00	7.6044e+00
LAE	4.0889e+03	9.8324e-17	2.1900e-01	2.5038e+02
LAE	4.1486e+03	6.2734e-17	6.8700e-01	5.2425e+01
LAE	3.8975e+03	5.9434e-17	5.8570e-01	5.1418e+01
LAE	4.1225e+03	5.5637e-17	1.1688e+00	2.6985e+01
LAE	4.0275e+03	5.4496e-17	1.9300e-01	1.5278e+02
LAE	4.0105e+03	8.0321e-17	4.0380e-01	1.0672e+02
LAE	4.2000e+03	6.6144e-17	2.5360e-01	1.5347e+02
LAE	3.8015e+03	1.0336e-16	5.8500e-01	8.5171e+01
OII	4.1216e+03	5.5436e-16	2.2681e+02	1.3850e+00
LAE	4.1314e+03	8.7367e-17	7.7220e-01	6.4416e+01
OII	4.1667e+03	2.2581e-16	6.4281e+00	2.0343e+01
LAE	4.0823e+03	6.9399e-17	1.4740e-01	2.6173e+02
LAE	3.8177e+03	8.1252e-17	3.5970e-01	1.0982e+02
OII	4.1950e+03	3.6916e-15	9.4593e+01	2.2909e+01
LAE	3.9302e+03	9.6647e-17	3.9050e-01	1.2752e+02
LAE	4.1813e+03	5.0424e-17	2.4684e+00	1.1913e+01
OII	4.1528e+03	6.1267e-16	5.9075e+01	5.9659e+00
LAE	4.1924e+03	1.5764e-16	3.8180e-01	2.4207e+02
LAE	4.0630e+03	5.3187e-17	1.8456e+01	1.5868e+00
LAE	4.1587e+03	5.5511e-17	1.7765e+00	1.8026e+01
OII	3.9805e+03	2.2782e-16	2.1514e+01	5.5966e+00
LAE	4.1449e+03	5.6137e-17	9.0400e-02	3.5587e+02
LAE	3.9894e+03	6.5172e-17	1.0107e+00	3.4232e+01
LAE	4.0356e+03	1.0836e-16	2.4860e-01	2.3679e+02
LAE	4.1105e+03	5.6181e-17	2.9060e-01	1.0896e+02
LAE	3.9548e+03	7.0919e-17	3.9780e-01	9.3008e+01
LAE	3.8740e+03	9.4653e-17	1.5580e-01	3.0413e+02
LAE	4.0124e+03	6.0743e-17	1.3845e+00	2.3561e+01
LAE	3.9960e+03	7.2683e-17	1.0200e-01	3.7954e+02
LAE	4.0270e+03	5.3495e-17	1.5360e-01	1.8839e+02
LAE	3.9262e+03	1.1948e-16	2.6190e-01	2.3458e+02
LAE	4.0588e+03	5.4673e-17	2.1540e-01	1.3948e+02
LAE	3.9376e+03	4.6780e-17	5.8100e-02	4.1641e+02
LAE	4.0424e+03	5.2438e-17	2.0500e-02	1.3943e+03
LAE	3.9243e+03	5.8031e-17	2.6306e+00	1.1332e+01
OII	3.9685e+03	1.0703e-15	1.5144e+02	3.7127e+00
LAE	4.0466e+03	6.0825e-17	3.7748e+00	8.8014e+00
LAE	3.8683e+03	9.4523e-17	1.8200e-01	2.5923e+02
LAE	3.9670e+03	8.7602e-17	1.2871e+00	3.5728e+01
OII	4.0018e+03	2.8314e-16	1.0903e+02	1.3873e+00
LAE	4.0954e+03	6.1753e-17	1.5620e-01	2.2118e+02
LAE	4.0206e+03	8.7886e-17	2.5000e-01	1.8955e+02
LAE	4.1146e+03	5.8791e-17	4.0000e-04	8.3003e+04
LAE	4.0404e+03	5.0120e-17	4.3810e-01	6.2297e+01
LAE	3.8375e+03	7.1871e-17	2.8510e-01	1.2383e+02
LAE	4.1995e+03	1.0693e-16	4.1880e-01	1.5020e+02
LAE	4.1751e+03	4.9754e-17	1.0047e+01	2.8794e+00
OII	3.9967e+03	4.0757e-16	2.5609e+02	8.4800e-01
LAE	4.0830e+03	9.4332e-17	1.2230e-01	4.2892e+02
LAE	3.9876e+03	7.5347e-17	2.7190e-01	1.4698e+02
LAE	4.0973e+03	5.2506e-17	3.8820e-01	7.5742e+01
LAE	4.1639e+03	7.5734e-17	2.0657e+00	2.1204e+01
LAE	3.9991e+03	5.1516e-17	1.4370e-01	1.9125e+02
OII	4.1059e+03	2.0457e-16	1.8909e+01	6.0838e+00
LAE	4.0811e+03	7.3381e-17	9.1590e-01	4.4510e+01
LAE	4.1837e+03	6.0976e-17	1.6050e-01	2.2181e+02
OII	3.8671e+03	9.7047e-15	1.3739e+04	3.5240e-01
LAE	4.0669e+03	7.9319e-17	1.8180e-01	2.4071e+02
